filename,oc_number,title,date,category,supersedes,superseded_by,local_path
Product-Compliance-_-006-_-FY-23-24-_-Initiation-of-Self-Attestation-for-Q3-F_-Y_-2023-24-on-New-Product-Compliance-(PCOMP)-Portal.pdf,,Product Compliance 006 FY 23 24 Initiation of Self Attestation for Q3 F Y 2023 24 on New Product Compliance (PCOMP) Portal,FY 23-24,Compliance,,,Data/raw_pdfs/upi/Product-Compliance-_-006-_-FY-23-24-_-Initiation-of-Self-Attestation-for-Q3-F_-Y_-2023-24-on-New-Product-Compliance-(PCOMP)-Portal.pdf
RuPay-I-OC022-I-FY-23-24-I-RuPay-Credit-Card-–-Transaction-limit-for-linked-RuPay-Credit-Card-on-UPI.pdf,22I,RuPay I OC022 I FY 23 24 I RuPay Credit Card – Transaction limit for linked RuPay Credit Card on UPI,FY 23-24,RuPay,,,Data/raw_pdfs/upi/RuPay-I-OC022-I-FY-23-24-I-RuPay-Credit-Card-–-Transaction-limit-for-linked-RuPay-Credit-Card-on-UPI.pdf
RuPay-OC-019-A_-Operating-circular-for-RuPay-Credit-Cards-linked-to-UPI--(Amended).pdf,19A,RuPay OC 019 A Operating circular for RuPay Credit Cards linked to UPI (Amended),,RuPay,,,Data/raw_pdfs/upi/RuPay-OC-019-A_-Operating-circular-for-RuPay-Credit-Cards-linked-to-UPI--(Amended).pdf
UPI-OC-133---Guidelines-on-UPI-Features.pdf,133,UPI OC 133 Guidelines on UPI Features,,UPI,,,Data/raw_pdfs/upi/UPI-OC-133---Guidelines-on-UPI-Features.pdf
UPI-OC-134---Adherence-to-RBI-PPI-Interoperability-Guidelines____.pdf,134,UPI OC 134 Adherence to RBI PPI Interoperability Guidelines,,UPI,,,Data/raw_pdfs/upi/UPI-OC-134---Adherence-to-RBI-PPI-Interoperability-Guidelines____.pdf
UPI-OC-137--Revised-timeline-for-enablement-of-customer-onboarding-on-UPI-through-Aadhaar-OTP-Authentication_.pdf,137,UPI OC 137 Revised timeline for enablement of customer onboarding on UPI through Aadhaar OTP Authentication,,UPI,,,Data/raw_pdfs/upi/UPI-OC-137--Revised-timeline-for-enablement-of-customer-onboarding-on-UPI-through-Aadhaar-OTP-Authentication_.pdf
UPI-OC-138---Introduction-of-“On-Device-wallet”-–-UPI-Lite-for-Small-Value-Transactions.pdf,138,UPI OC 138 Introduction of “On Device wallet” – UPI Lite for Small Value Transactions,,UPI,,,Data/raw_pdfs/upi/UPI-OC-138---Introduction-of-“On-Device-wallet”-–-UPI-Lite-for-Small-Value-Transactions.pdf
UPI-OC-142---Acceptance-of-UPI-based-payments-by-merchants.pdf,142,UPI OC 142 Acceptance of UPI based payments by merchants,,UPI,,,Data/raw_pdfs/upi/UPI-OC-142---Acceptance-of-UPI-based-payments-by-merchants.pdf
UPI-OC-145---Final-implementation-timeline-for-ODR--Enhancing-Complaint-handling-&-Resolution-process-for-all-UPI-users.pdf,145,UPI OC 145 Final implementation timeline for ODR Enhancing Complaint handling & Resolution process for all UPI users,,UPI,,,Data/raw_pdfs/upi/UPI-OC-145---Final-implementation-timeline-for-ODR--Enhancing-Complaint-handling-&-Resolution-process-for-all-UPI-users.pdf
UPI-OC-145A---Reminder-on-“Final-implementation-timelines-for-“ODR-–-Enhancing-Complaint-handling-&-Resolution-process-for-all-UPI-users”.pdf,145A,UPI OC 145A Reminder on “Final implementation timelines for “ODR – Enhancing Complaint handling & Resolution process for all UPI users”,,UPI,,,Data/raw_pdfs/upi/UPI-OC-145A---Reminder-on-“Final-implementation-timelines-for-“ODR-–-Enhancing-Complaint-handling-&-Resolution-process-for-all-UPI-users”.pdf
UPI-OC-146---Compliance-timeline-for-International-Acceptance-using-UPI-(UPI-Global).pdf,146,UPI OC 146 Compliance timeline for International Acceptance using UPI (UPI Global),,UPI,,,Data/raw_pdfs/upi/UPI-OC-146---Compliance-timeline-for-International-Acceptance-using-UPI-(UPI-Global).pdf
UPI-OC-148-–-Processing-of-refunds.pdf,148,UPI OC 148 – Processing of refunds,,UPI,,,Data/raw_pdfs/upi/UPI-OC-148-–-Processing-of-refunds.pdf
UPI-OC-149---Reduction-of-business-decline-in-UPI.pdf,149,UPI OC 149 Reduction of business decline in UPI,,UPI,,,Data/raw_pdfs/upi/UPI-OC-149---Reduction-of-business-decline-in-UPI.pdf
UPI-OC-150---Enablement-of-Interoperable-Card-less-Cash-withdrawal-(ICCW)-transactions-on-NFS-ATM-Network-using-unified-Payment-Interface-(UPI)-for-authorization.pdf,150,UPI OC 150 Enablement of Interoperable Card less Cash withdrawal (ICCW) transactions on NFS ATM Network using unified Payment Interface (UPI) for authorization,,NFS,,,Data/raw_pdfs/upi/UPI-OC-150---Enablement-of-Interoperable-Card-less-Cash-withdrawal-(ICCW)-transactions-on-NFS-ATM-Network-using-unified-Payment-Interface-(UPI)-for-authorization.pdf
